playerID,blocks,oPointsScored,drops,yds_per_att,o_pct,ovd,throwaways,hockeyAssists,yardsReceived,yardsThrown,pulls,yds_per_catch,huck_pct,assists,goals,hucksAttempted,catches,d_pct,turnovers,cluster
jzuraw,0.6,13.0,0.0,7.070438311688312,0.6074766355140186,0.9701492537313433,1.2,1.2,51.8,262.2,0.2,1.6586701714490761,0.6666666666666667,2.6,0.6,1.2,28.6,0.5,1.4,3
kalexande,0.18181818181818182,3.0,0.09090909090909091,6.455028305028306,0.717391304347826,0.4714285714285714,0.5454545454545454,1.0,41.09090909090909,89.54545454545455,0.09090909090909091,4.942424242424242,0.8,0.6363636363636364,0.8181818181818182,0.45454545454545453,8.090909090909092,0.3523809523809524,0.7272727272727273,0
kallen,0.5,0.0,0.0,4.2,0.0,0.0,1.5,1.0,-21.5,42.0,0.0,-2.4625,0.0,0.0,0.5,0.0,6.5,0.4,1.5,4
kanthony,0.35294117647058826,10.411764705882353,0.058823529411764705,6.401095875530465,0.5429447852760736,0.9943820224719101,1.588235294117647,1.2352941176470589,63.11764705882353,115.52941176470588,0.0,5.186369644984869,0.4666666666666667,1.2352941176470589,0.4117647058823529,0.8823529411764706,15.588235294117647,0.1111111111111111,1.7058823529411764,2
kblaeuer,0.0,0.0,0.0,4.0,0.6020587118759417,0.0,0.0,0.3333333333333333,15.333333333333334,2.0,0.0,11.5,0.0,0.0,0.0,0.0,1.3333333333333333,0.05,0.0,4
kcampbell,0.8181818181818182,0.5454545454545454,0.36363636363636365,2.9524531024531027,0.75,0.16216216216216217,0.45454545454545453,0.36363636363636365,23.454545454545453,15.636363636363637,0.0,4.357575757575758,0.33333333333333337,0.09090909090909091,0.18181818181818182,0.2727272727272727,4.0,0.1712707182320442,0.8181818181818182,4
kcantal,0.375,0.0625,0.0,4.2875000000000005,1.0,0.021739130434782608,0.3125,0.125,8.375,8.875,0.0,3.688095238095238,0.0,0.0,0.25,0.0625,2.4375,0.1906779661016949,0.3125,4
kcharnock,0.16666666666666666,0.6666666666666666,0.0,4.888888888888888,0.6666666666666666,0.5,0.0,0.0,20.0,6.333333333333333,0.0,13.194444444444445,0.0,0.16666666666666666,0.0,0.0,1.3333333333333333,0.0784313725490196,0.0,4
kchristia,0.625,13.125,0.125,5.982348179316759,0.5555555555555556,1.0,3.0,2.625,87.125,273.125,0.0,3.1105044950168286,0.2,1.625,0.125,1.25,32.5,0.0,3.125,3
kchunmoy,0.18181818181818182,2.4545454545454546,0.09090909090909091,7.039494910282954,0.5294117647058824,0.54,1.0909090909090908,0.36363636363636365,77.81818181818181,95.0,0.09090909090909091,17.640079365079362,0.6666666666666666,1.1818181818181819,0.45454545454545453,0.8181818181818182,9.363636363636363,0.22772277227722773,1.1818181818181819,0
